text,cleaned_text,tokenized_and_lemmatized,sentiment
Arguing today who got there first or which state was formed first is irrelevant. Many ethnicities  can make ancestral claims to land. Irrelevant today & the argument only leads to more nonsensical terrorist acts from both Israel & Hamas and innocent civilians lose on both sides,Arguing today who got there first or which state was formed first is irrelevant Many ethnicities can make ancestral claims to land Irrelevant today the argument only leads to more nonsensical terrorist acts from both Israel Hamas and innocent civilians lose on both sides,arguing today got first state formed first irrelevant many ethnicity make ancestral claim land irrelevant today argument lead nonsensical terrorist act israel hamas innocent civilian lose side,Negative
"Disgraceful.  Australia should work for peace, not for the survival of Hamas.  Call on Hamas to release all hostages now.",Disgraceful Australia should work for peace not for the survival of Hamas Call on Hamas to release all hostages now,disgraceful australia work peace survival hamas call hamas release hostage,Negative
Will hamas stop though?,Will hamas stop though,hamas stop though,Negative
#IsraelIsATerroristState #netanyahou_biden_are_terrorists_and_war_criminals #BoycottIsraeliProducts,israel is a terrorist state netanya hou biden are terrorists and war criminals boycott israeli products,israel terrorist state netanya hou biden terrorist war criminal boycott israeli product,Negative
There should be a ceasefire when these peaceful Palestinians turn over all members of hamas,There should be a ceasefire when these peaceful Palestinians turn over all members of hamas,ceasefire peaceful palestinian turn member hamas,Positive
"I don't think the people who regularly pour cement into the water supply in Gaza, claiming to want to turn it into a parking lot, are salting the earth (affecting the land’s fertility, rendering it unsuitable for agriculture for years) to root out Hamas.",I don t think the people who regularly pour cement into the water supply in Gaza claiming to want to turn it into a parking lot are salting the earth affecting the land s fertility rendering it unsuitable for agriculture for years to root out Hamas,think people regularly pour cement water supply gaza claiming want turn parking lot salting earth affecting land fertility rendering unsuitable agriculture year root hamas,Positive
"Tell him to hell w your Sharia, Piers. In Egypt we removed the Muslim brotherhood (parent org of Hamas) from power, who wanted to implement Sharia. There are Atheists, Christians and liberal and secular Muslims in the so-called ""Muslim world"" who want nothing to do with Sharia.",Tell him to hell w your Sharia Piers In Egypt we removed the Muslim brotherhood parent org of Hamas from power who wanted to implement Sharia There are Atheists Christians and liberal and secular Muslims in the so called Muslim world who want nothing to do with Sharia,tell hell w sharia pier egypt removed muslim brotherhood parent org hamas power wanted implement sharia atheist christian liberal secular muslim called muslim world want nothing sharia,Negative
Allahu Akbar  A Turkish MP condemns Israel in their parliament and then collapses from a heart attack  Allah curses those who curse Israel  Allah hates Hamas  Allah hates those Muslims who attack the People of the Book  Allah is a Zionist,Allahu Akbar A Turkish MP condemns Israel in their parliament and then collapses from a heart attack Allah curses those who curse Israel Allah hates Hamas Allah hates those Muslims who attack the People of the Book Allah is a Zionist,allahu akbar turkish mp condemns israel parliament collapse heart attack allah curse curse israel allah hate hamas allah hate muslim attack people book allah zionist,Negative
"Make sure you call out Hamas for slaughtering 1200 innocent men, women, children, and babies (that they beheaded) for no good reason. Your hands aren't clean, read Genesis 12:2-3. Acts 5:39 to find out who you're fighting.",Make sure you call out Hamas for slaughtering 1200 innocent men women children and babies that they beheaded for no good reason Your hands aren t clean read Genesis 12 2 3 Acts 5 39 to find out who you re fighting,make sure call hamas slaughtering innocent men woman child baby beheaded good reason hand clean read genesis act find fighting,Positive
It’s all going to hamas they shouldn’t give anything,It s all going to hamas they shouldn t give anything,going hamas give anything,Neutral
The main reason for #Gaza_Geniocide #FreePalestine 🇵🇸 #Strike_for_Gaza #BoycottZara #CEASEFIRE_NOW #IDF_TERRORIST #Netanyahou_A_criminal_of_war,The main reason for gaza genio cide free palestine strike for gaza boycott zara ceasefire now idf terrorist netanya hou a criminal of war,main reason gaza genio cide free palestine strike gaza boycott zara ceasefire idf terrorist netanya hou criminal war,Negative
Canada betrayed Israel today and stood with Hamas Terrorists. Disgusting.,Canada betrayed Israel today and stood with Hamas Terrorists Disgusting,canada betrayed israel today stood hamas terrorist disgusting,Negative
"Peace, ok good luck with that. Gaza get billions in funding now we know where is went under. There will be always fight in Middle East it bring money to Hamas and other terrorist organisations. If they stop no more money to them. No luxury in Qatar. Palestinian knows dictatorship",Peace ok good luck with that Gaza get billions in funding now we know where is went under There will be always fight in Middle East it bring money to Hamas and other terrorist organisations If they stop no more money to them No luxury in Qatar Palestinian knows dictatorship,peace ok good luck gaza get billion funding know went always fight middle east bring money hamas terrorist organisation stop money luxury qatar palestinian know dictatorship,Positive
But why not demanding Hamas to safety return all hostages!  Hamas are terrorists!,But why not demanding Hamas to safety return all hostages Hamas are terrorists,demanding hamas safety return hostage hamas terrorist,Negative
@POTUS announces support for Hamas terrorists over Israel.  Biden can't resist an opportunity to kill innocent Jews.  https://www.nytimes.com/2023/12/12/world/middleeast/biden-israel-netanyahu-gaza.html,POTUS announces support for Hamas terrorists over Israel Biden can t resist an opportunity to kill innocent Jews,potus announces support hamas terrorist israel biden resist opportunity kill innocent jew,Negative
😂😂😂😂😂  this is only for money ! liar as a Palestinian ! liar as a Hamassian from Hamas land !,this is only for money liar as a Palestinian liar as a Hamassian from Hamas land,money liar palestinian liar hamassian hamas land,Negative
"Imagine if Israel had brutally murdered a thousand Palestinians, and in revenge Hamas had killed eighteen thousand Israelis and driven the whole population of Tel Aviv from their homes.  You can’t really, can you? It’s absurd. But the other way round is…?",Imagine if Israel had brutally murdered a thousand Palestinians and in revenge Hamas had killed eighteen thousand Israelis and driven the whole population of Tel Aviv from their homes You can t really can you It s absurd But the other way round is,imagine israel brutally murdered thousand palestinian revenge hamas killed eighteen thousand israeli driven whole population tel aviv home really absurd way round,Negative
"Yes, Hamas are terrorist. Then do you support the attack on Jewish Oct 7th? YES OR NO. If you can't answer yes or no you are a coward.",Yes Hamas are terrorist Then do you support the attack on Jewish Oct 7th YES OR NO If you can t answer yes or no you are a coward,yes hamas terrorist support attack jewish oct yes answer yes coward,Negative
Like what Hamas did on Oct 7th. God is judging them now,Like what Hamas did on Oct 7th God is judging them now,like hamas oct god judging,Positive
If hamas releases the hostages and unilaterally surrenders then maybe Israel can ease up some.  Otherwise kill every hamas member and salt the earth where they stood.,If hamas releases the hostages and unilaterally surrenders then maybe Israel can ease up some Otherwise kill every hamas member and salt the earth where they stood,hamas release hostage unilaterally surrender maybe israel ease otherwise kill every hamas member salt earth stood,Negative
Let those who endorse Hamas rapes and beheadings lose their cushy jobs.,Let those who endorse Hamas rapes and beheadings lose their cushy jobs,let endorse hamas rape beheading lose cushy job,Negative
Has Hamas agreed to stop attacking Israelis?,Has Hamas agreed to stop attacking Israelis,hamas agreed stop attacking israeli,Negative
Try Hamas throbber 🇮🇱🇮🇱🇮🇱,Try Hamas throbber,try hamas throbber,Neutral
We are all anti-Zionism ✌️  “A people whose capacity for joy cannot be destroyed is itself indestructible.”  Long live a free Palestine without Jews☝️🇹🇷🇵🇸  #StrikeForGaza #FreePalestineFromZionists #IsraelisATerorristOrganisation #netanyahou_biden_are_terrorists_and_war_criminals,We are all anti Zionism A people whose capacity for joy cannot be destroyed is itself indestructible Long live a free Palestine without Jews strike for gaza free palestine from zionists israeli sater or rist organisation netanya hou biden are terrorists and war criminals,anti zionism people whose capacity joy destroyed indestructible long live free palestine without jew strike gaza free palestine zionist israeli sater rist organisation netanya hou biden terrorist war criminal,Negative
"They did better. They hid, stored their weapons under hospitals neighborhoods schools...  Isreal gave notice they refused to move the innocent.  Then HAMAS used their deaths as propaganda.  That's some horrific evil!",They did better They hid stored their weapons under hospitals neighborhoods schools Isreal gave notice they refused to move the innocent Then HAMAS used their deaths as propaganda That s some horrific evil,better hid stored weapon hospital neighborhood school isreal gave notice refused move innocent hamas used death propaganda horrific evil,Negative
"""3 As he was Jewish if Jesus was born today, Hamas and co would want to kill him.""  Sounds like you're trying to defend the Pharisees, understandable given the myriad similarities and interests modern Zionists share with them.",3 As he was Jewish if Jesus was born today Hamas and co would want to kill him Sounds like you re trying to defend the Pharisees understandable given the myriad similarities and interests modern Zionists share with them,jewish jesus born today hamas co would want kill sound like trying defend pharisee understandable given myriad similarity interest modern zionist share,Positive
You know who else has stringent gun control? Israel does. It didn’t work out so well for all those Israeli citizens who were defenseless on October 7th against HAMAS terrorists.,You know who else has stringent gun control Israel does It didn t work out so well for all those Israeli citizens who were defenseless on October 7th against HAMAS terrorists,know else stringent gun control israel work well israeli citizen defenseless october hamas terrorist,Negative
"No shot Those are Hamas fighters. First they wouldn't surrender. 2ndly, dude is wearing clean white shoes and other dudes are wearing fashionably slim pants. They look civilian and were probably arrested because they are of military age and they wonder why the people hate the IDF",No shot Those are Hamas fighters First they wouldn t surrender 2ndly dude is wearing clean white shoes and other dudes are wearing fashionably slim pants They look civilian and were probably arrested because they are of military age and they wonder why the people hate the IDF,shot hamas fighter first surrender dude wearing clean white shoe dude wearing fashionably slim pant look civilian probably arrested military age wonder people hate idf,Negative
Hamas did this,Hamas did this,hamas,Neutral
Her parents might be Hamas 😎 Seems like taking videos of kids are in thing in Gaza these days.,Her parents might be Hamas Seems like taking videos of kids are in thing in Gaza these days,parent might hamas seems like taking video kid thing gaza day,Positive
So... There was basically a ceasefire until Hamas attacked Israel.,So There was basically a ceasefire until Hamas attacked Israel,basically ceasefire hamas attacked israel,Negative
"Canada supports UN resolution calling for ceasefire in Israel-Hamas war https://www.cbc.ca/news/politics/canada-sustainable-ceasefire-israel-gaza-1.7056626 Defending is not what is occurring, genocide is!!  NUTTYYAHOO IS A  POWER HUNGRY MURDERER!THE ISRALIS HAVE HAD HIS ELIXIR!!!",Canada supports UN resolution calling for ceasefire in Israel Hamas war Defending is not what is occurring genocide is NUTTYYAHOO IS A POWER HUNGRY MURDERER THE ISRALIS HAVE HAD HIS ELIXIR,canada support un resolution calling ceasefire israel hamas war defending occurring genocide nuttyyahoo power hungry murderer isralis elixir,Negative
"I suggest you speak to Hamas about surrender if you want a ceasefire. Also, stop letting terrorists tunnel under your hospitals and launch missiles from its parking lot.",I suggest you speak to Hamas about surrender if you want a ceasefire Also stop letting terrorists tunnel under your hospitals and launch missiles from its parking lot,suggest speak hamas surrender want ceasefire also stop letting terrorist tunnel hospital launch missile parking lot,Negative
"President Joe Biden expressed the need to support Israel against Hamas, while also stressing the importance of safety for innocent Palestinians https://trib.al/OoaAvTb",President Joe Biden expressed the need to support Israel against Hamas while also stressing the importance of safety for innocent Palestinians,president joe biden expressed need support israel hamas also stressing importance safety innocent palestinian,Positive
Hamas without a mask? Since when? 🥱,Hamas without a mask Since when,hamas without mask since,Neutral
Hamas has punished Gazans.,Hamas has punished Gazans,hamas punished gazans,Negative
Its a good question. But I believe Hamas did keep records and the IDF will have those records.,Its a good question But I believe Hamas did keep records and the IDF will have those records,good question believe hamas keep record idf record,Positive
Did you see Hamas releasing all hostages or stop shooting rockets? I don’t think so.,Did you see Hamas releasing all hostages or stop shooting rockets I don t think so,see hamas releasing hostage stop shooting rocket think,Negative
No i mean why are you asking? I thought we were talking about who started it? But if you insist it would technically Hamas but like Israel was killing palestinians in west bank in the lead up to october 7 as well and the occupation still didnt end so.,No i mean why are you asking I thought we were talking about who started it But if you insist it would technically Hamas but like Israel was killing palestinians in west bank in the lead up to october 7 as well and the occupation still didnt end so,mean asking thought talking started insist would technically hamas like israel killing palestinian west bank lead october well occupation still didnt end,Negative
"Israel's Ambassador to the UN, Gilad Erdan, presented the phone number of Hamas' leader Yahya Sinwar and said: If you want a ceasefire, call him.  That's hilarious! 😆",Israel s Ambassador to the UN Gilad Erdan presented the phone number of Hamas leader Yahya Sinwar and said If you want a ceasefire call him That s hilarious,israel ambassador un gilad erdan presented phone number hamas leader yahya sinwar said want ceasefire call hilarious,Positive
"Netanyahu video today:  We will destroy Hamas, no two state solution and no PA in Gaza.  Implication: I will get US to agree to my plans. Full English translation in the thread.  1",Netanyahu video today We will destroy Hamas no two state solution and no PA in Gaza Implication I will get US to agree to my plans Full English translation in the thread 1,netanyahu video today destroy hamas two state solution pa gaza implication get u agree plan full english translation thread,Positive
A sustainable peace will begin when Hamas loves their kids more than they hate Israelis.,A sustainable peace will begin when Hamas loves their kids more than they hate Israelis,sustainable peace begin hamas love kid hate israeli,Positive
"Yet @mehdirhasan will not share this testimony of how sexual crimes and murder were part of the Gaza Government’s plan to terrify, humiliate and dehumanize women during the attack on @Israel. Mehdi, Hamas is that government, are you okay with it?",Yet mehdirhasan will not share this testimony of how sexual crimes and murder were part of the Gaza Government s plan to terrify humiliate and dehumanize women during the attack on Israel Mehdi Hamas is that government are you okay with it,yet mehdirhasan share testimony sexual crime murder part gaza government plan terrify humiliate dehumanize woman attack israel mehdi hamas government okay,Negative
"When bombs are falling what difference does the  distance make? Hamas uses civilians and their deaths, injuries, starvation as propaganda. Hamas rarely attacks the military. Hamas hides among civilians. They use them as suicide bombs. Why should Israel not use them for defense?",When bombs are falling what difference does the distance make Hamas uses civilians and their deaths injuries starvation as propaganda Hamas rarely attacks the military Hamas hides among civilians They use them as suicide bombs Why should Israel not use them for defense,bomb falling difference distance make hamas us civilian death injury starvation propaganda hamas rarely attack military hamas hide among civilian use suicide bomb israel use defense,Negative
"There are many pseudo-tough-guys like this justifying everything Israel is doing by pretending to be a John Wayne character, growling: ""War is Hell.""  If everything is justified in war, what moral basis do you have for condemning what Hamas did on Oct 7?",There are many pseudo tough guys like this justifying everything Israel is doing by pretending to be a John Wayne character growling War is Hell If everything is justified in war what moral basis do you have for condemning what Hamas did on Oct 7,many pseudo tough guy like justifying everything israel pretending john wayne character growling war hell everything justified war moral basis condemning hamas oct,Negative
Killed by Hamas. And no way to know anything anyways as Palestinians frequently use their children for media fodder. For all you know daddy stuck an ice pick in its head and blamed Israel. It’s happened plenty of times before.,Killed by Hamas And no way to know anything anyways as Palestinians frequently use their children for media fodder For all you know daddy stuck an ice pick in its head and blamed Israel It s happened plenty of times before,killed hamas way know anything anyways palestinian frequently use child medium fodder know daddy stuck ice pick head blamed israel happened plenty time,Negative
it’s gotten so bad that Biden is praising Bibi in order to make Ben-Gvir the only problem. cooked.,it s gotten so bad that Biden is praising Bibi in order to make Ben Gvir the only problem cooked,gotten bad biden praising bibi order make ben gvir problem cooked,Negative
"I’m 10% Jewish. Guess that Hamas will have to cut off a few of my fingers and toes.  What Hamas has said & done, however horrible, doesn’t justify the siege of Gaza and the mass murder of 18k+ human beings and counting.",I m 10 Jewish Guess that Hamas will have to cut off a few of my fingers and toes What Hamas has said done however horrible doesn t justify the siege of Gaza and the mass murder of 18k human beings and counting,jewish guess hamas cut finger toe hamas said done however horrible justify siege gaza mass murder human being counting,Negative
Shameful! @JustinTrudeau knows full well that Hamas will NEVER support a ceasefire. Hamas broke a ceasefire on Oct 07. Hamas broke it again when the recent pause was in effect. Hamas just wants time to re-arm & re-group. The civilized world must say NO! @AlexpiersonAMP,Shameful JustinTrudeau knows full well that Hamas will NEVER support a ceasefire Hamas broke a ceasefire on Oct 07 Hamas broke it again when the recent pause was in effect Hamas just wants time to re arm re group The civilized world must say NO AlexpiersonAMP,shameful justintrudeau know full well hamas never support ceasefire hamas broke ceasefire oct hamas broke recent pause effect hamas want time arm group civilized world must say alexpiersonamp,Negative
We aren’t talking about children. We are talking about Hamas/ ISIS terrorists.,We aren t talking about children We are talking about Hamas ISIS terrorists,talking child talking hamas isi terrorist,Negative
"@thereidout I am officially done with you and your show. I am pro-Palestinian, pro-Israel and anti Hamas. I think your comments tiptoe on the edge of anti-semitism.",thereidout I am officially done with you and your show I am pro Palestinian pro Israel and anti Hamas I think your comments tiptoe on the edge of anti semitism,thereidout officially done show pro palestinian pro israel anti hamas think comment tiptoe edge anti semitism,Negative
"“Gaza is an open air prison”  Nope, radical extremism just wanted to steal more, tax Jews, and claim superiority in the west.   What Israel is doing is wrong.   But fuck off if you think Hamas are “freedom fighters”   Freedom from this ???",Gaza is an open air prison Nope radical extremism just wanted to steal more tax Jews and claim superiority in the west What Israel is doing is wrong But fuck off if you think Hamas are freedom fighters Freedom from this,gaza open air prison nope radical extremism wanted steal tax jew claim superiority west israel wrong fuck think hamas freedom fighter freedom,Negative
They should be calling on Hamas to surrender.,They should be calling on Hamas to surrender,calling hamas surrender,Neutral
"hers's some breaking news no matter how many stupid resolutions you people push, Israel ain't stopping until they have eliminated Hamas.",hers s some breaking news no matter how many stupid resolutions you people push Israel ain t stopping until they have eliminated Hamas,breaking news matter many stupid resolution people push israel stopping eliminated hamas,Negative
"If this is about Hamas and hostages, why are Israelis terrorizing West Bank Palestinians trying to harvest the olives of their ancient trees?  Haarretz reports: Young settlers “have WhatsApp groups where they notify others about where there are Palestinians picking olives, and then they show up to scare them. In one area, settlers put leaflets on Palestinian cars saying they will suffer a ‘Great Nakba.’ Not in all cases, but in some cases, it’s the army that is preventing people from harvesting their olives.”  https://www.haaretz.com/israel-news/podcasts/2023-11-28/ty-article-podcast/with-all-eyes-on-gaza-west-bank-palestinians-are-facing-unprecedented-violence/0000018c-11e4-dd2e-a5ae-d3ef0ac20000",If this is about Hamas and hostages why are Israelis terrorizing West Bank Palestinians trying to harvest the olives of their ancient trees Haarretz reports Young settlers have WhatsApp groups where they notify others about where there are Palestinians picking olives and then they show up to scare them In one area settlers put leaflets on Palestinian cars saying they will suffer a Great Nakba Not in all cases but in some cases it s the army that is preventing people from harvesting their olives,hamas hostage israeli terrorizing west bank palestinian trying harvest olive ancient tree haarretz report young settler whatsapp group notify others palestinian picking olive show scare one area settler put leaflet palestinian car saying suffer great nakba case case army preventing people harvesting olive,Negative
"Yes, October 7th, so what? Hamas killing is not on the scale of the Israelis plus the IDF killed many of those Israeli civilians through incompetence and Hannibal doctrine.  The Israeli forces have killed over  20,000 Palestinian civilians 'defending' themselves.",Yes October 7th so what Hamas killing is not on the scale of the Israelis plus the IDF killed many of those Israeli civilians through incompetence and Hannibal doctrine The Israeli forces have killed over 20 000 Palestinian civilians defending themselves,yes october hamas killing scale israeli plus idf killed many israeli civilian incompetence hannibal doctrine israeli force killed palestinian civilian defending,Negative
May be stop funding Hamas???,May be stop funding Hamas,may stop funding hamas,Negative
"Hamas doesn't give a rats ace about any civilians, Palestinian or Israeli.  They've made that blatantly obvious to us all. Hamas needs to be erased.",Hamas doesn t give a rats ace about any civilians Palestinian or Israeli They ve made that blatantly obvious to us all Hamas needs to be erased,hamas give rat ace civilian palestinian israeli made blatantly obvious u hamas need erased,Neutral
"Because this is a hilarious take right?   Noone wants people slaughtering innocents.  A terrorist group, Hamas, killed innocents.  A country with an actual army and up to date munitions decided to go one further and slaughter babies.  None of this is twitter bantz",Because this is a hilarious take right Noone wants people slaughtering innocents A terrorist group Hamas killed innocents A country with an actual army and up to date munitions decided to go one further and slaughter babies None of this is twitter bantz,hilarious take right noone want people slaughtering innocent terrorist group hamas killed innocent country actual army date munition decided go one slaughter baby none twitter bantz,Negative
"WSJ News Exclusive: Israel’s military has begun to pump seawater into Hamas’s vast complex of tunnels in Gaza, according to U.S. officials briefed on the Israeli military’s operations, part of an intensive effort to destroy the underground infrastructure https://on.wsj.com/3t7e5U6",WSJ News Exclusive Israel s military has begun to pump seawater into Hamas s vast complex of tunnels in Gaza according to U S officials briefed on the Israeli military s operations part of an intensive effort to destroy the underground infrastructure,wsj news exclusive israel military begun pump seawater hamas vast complex tunnel gaza according u official briefed israeli military operation part intensive effort destroy underground infrastructure,Negative
"Foreign terrorist organizations can exploit the southwest border as the United States faces the highest risk of an attack following the Hamas onslaught in Israel, according to Federal Bureau of Investigation (FBI) Director Christopher Wray. READ: jwatch.us/RHDVRn",Foreign terrorist organizations can exploit the southwest border as the United States faces the highest risk of an attack following the Hamas onslaught in Israel according to Federal Bureau of Investigation FBI Director Christopher Wray READ jwatch us RHDVRn,foreign terrorist organization exploit southwest border united state face highest risk attack following hamas onslaught israel according federal bureau investigation fbi director christopher wray read jwatch u rhdvrn,Negative
"If u really care, stop ur friends #netanyahou_biden_are_terrorists_and_war_criminals  from killing innocent kids and women",If u really care stop ur friends netanya hou biden are terrorists and war criminals from killing innocent kids and women,u really care stop ur friend netanya hou biden terrorist war criminal killing innocent kid woman,Negative
Why didn't Hamas plan for this before escalating the war?,Why didn t Hamas plan for this before escalating the war,hamas plan escalating war,Negative
Ever notice how most of the accounts pushing Hamas propaganda are also the ones carrying Putin’s water?   Wonder why that is. 🙄,Ever notice how most of the accounts pushing Hamas propaganda are also the ones carrying Putin s water Wonder why that is,ever notice account pushing hamas propaganda also one carrying putin water wonder,Negative
Go to Gaza with your stupid cow bell nose ring and tell Hamas you’re American and when they immediately rape and torture you slowly to death you will probably re think your position.,Go to Gaza with your stupid cow bell nose ring and tell Hamas you re American and when they immediately rape and torture you slowly to death you will probably re think your position,go gaza stupid cow bell nose ring tell hamas american immediately rape torture slowly death probably think position,Negative
"Here’s the problem. 70% of Americans don’t trust @FBI. Wray doesn’t think it’s an issue. ⁦@SuspendablesUSA⁩ #FBI, #DHS warn of ‘threats to public safety’ during holiday season, amplified by Israel-Hamas conflict  https://www.foxnews.com/us/fbi-dhs-warn-threats-public-safety-holiday-season-amplified-israel-hamas-conflict",Here s the problem 70 of Americans don t trust FBI Wray doesn t think it s an issue SuspendablesUSA fbi dhs warn of threats to public safety during holiday season amplified by Israel Hamas conflict,problem american trust fbi wray think issue suspendablesusa fbi dhs warn threat public safety holiday season amplified israel hamas conflict,Neutral
"How Israel created Hamas.  Ron Paul's 2009 speech on the House floor. He raised his voice in opposition to H.R. 34, goes on to say, ""Israel created Hamas.""",How Israel created Hamas Ron Paul s 2009 speech on the House floor He raised his voice in opposition to H R 34 goes on to say Israel created Hamas,israel created hamas ron paul speech house floor raised voice opposition h r go say israel created hamas,Positive
Given James Rehwald works as an advertising exec for Nike I like the subtle Nike ad placement in his Hamas agitprop video which describes the October 7 massacres of Jewish civilians by the Hamas term “Al-Aqsa Flood Operation” as though it was a legitimate military operation,Given James Rehwald works as an advertising exec for Nike I like the subtle Nike ad placement in his Hamas agitprop video which describes the October 7 massacres of Jewish civilians by the Hamas term Al Aqsa Flood Operation as though it was a legitimate military operation,given james rehwald work advertising exec nike like subtle nike ad placement hamas agitprop video describes october massacre jewish civilian hamas term al aqsa flood operation though legitimate military operation,Positive
Didn't Hamas invade kibutzs and kill hundreds of civilians in their homes (and at that party) on Oct 7?,Didn t Hamas invade kibutzs and kill hundreds of civilians in their homes and at that party on Oct 7,hamas invade kibutzs kill hundred civilian home party oct,Negative
National Library of Israel collecting all documentation of Hamas massacre and war https://www.timesofisrael.com/national-library-of-israel-collecting-all-documentation-of-hamas-massacre-and-war/?utm_source=dlvr.it&utm_medium=twitter . Click to read ⬇️,National Library of Israel collecting all documentation of Hamas massacre and war Click to read,national library israel collecting documentation hamas massacre war click read,Negative
#Gaza #netanyahou_biden_are_terrorists_and_war_criminals #NotInMyName #StopTheGenocide,gaza netanya hou biden are terrorists and war criminals not in my name stop the genocide,gaza netanya hou biden terrorist war criminal name stop genocide,Negative
all civilian pain/harm is deeply disturbing. just a reminder that Israel has many more Palestinian women and (especially) children in its custody than Hamas has Israelis. condemnation should be consistent with the magnitude/quantum of misery.,all civilian pain harm is deeply disturbing just a reminder that Israel has many more Palestinian women and especially children in its custody than Hamas has Israelis condemnation should be consistent with the magnitude quantum of misery,civilian pain harm deeply disturbing reminder israel many palestinian woman especially child custody hamas israeli condemnation consistent magnitude quantum misery,Negative
You’re a graduate of Hamas Harvard….enough said.,You re a graduate of Hamas Harvard enough said,graduate hamas harvard enough said,Neutral
Why are Hamas fighters riding aid truck shooting at Palestinian civilians in Gaza?,Why are Hamas fighters riding aid truck shooting at Palestinian civilians in Gaza,hamas fighter riding aid truck shooting palestinian civilian gaza,Positive
"@JustinTrudeau @melaniejoly @CTVNews @CBCNews This is only the tip of the iceberg. UNRWA is a corrupt organization that is run by Hamas terrorists. Canadian taxpayers money funds this.   Shame on you, your vote today in the UNGA is a betrayal and serves only one side - Hamas.",JustinTrudeau melaniejoly CTVNews CBCNews This is only the tip of the iceberg UNRWA is a corrupt organization that is run by Hamas terrorists Canadian taxpayers money funds this Shame on you your vote today in the UNGA is a betrayal and serves only one side Hamas,justintrudeau melaniejoly ctvnews cbcnews tip iceberg unrwa corrupt organization run hamas terrorist canadian taxpayer money fund shame vote today unga betrayal serf one side hamas,Negative
"""I would appeal to all the membership to see this one sided slaughter that is taking place. If Hamas is named and not Israel, you will provide a justification to the Israeli war machine to continue its roulette wheel of death.""  Ambassador Munir Akram at UNGA Emergency Session",I would appeal to all the membership to see this one sided slaughter that is taking place If Hamas is named and not Israel you will provide a justification to the Israeli war machine to continue its roulette wheel of death Ambassador Munir Akram at UNGA Emergency Session,would appeal membership see one sided slaughter taking place hamas named israel provide justification israeli war machine continue roulette wheel death ambassador munir akram unga emergency session,Negative
Correct. Likud and Hamas are both functionally terrorist organisations.,Correct Likud and Hamas are both functionally terrorist organisations,correct likud hamas functionally terrorist organisation,Negative
so you think Hamas is the only Org that try to kill Jews?,so you think Hamas is the only Org that try to kill Jews,think hamas org try kill jew,Negative
"“Forged from the twisted remains of an Israeli license plate — a somber relic of the tragic Hamas attack on the R’eim Music Festival on October 7, 2023 — this menorah transcends its origin to illuminate a path of resilience.  Melding remnants of heartbreak with the bedrock of tradition, this menorah is not merely a commemorative piece, but a bold declaration. It loudly proclaims the everlasting miracle of Jewish survival and hope, affirming the commitment to life and light over the forces of terror and darkness.”",Forged from the twisted remains of an Israeli license plate a somber relic of the tragic Hamas attack on the R eim Music Festival on October 7 2023 this menorah transcends its origin to illuminate a path of resilience Melding remnants of heartbreak with the bedrock of tradition this menorah is not merely a commemorative piece but a bold declaration It loudly proclaims the everlasting miracle of Jewish survival and hope affirming the commitment to life and light over the forces of terror and darkness,forged twisted remains israeli license plate somber relic tragic hamas attack r eim music festival october menorah transcends origin illuminate path resilience melding remnant heartbreak bedrock tradition menorah merely commemorative piece bold declaration loudly proclaims everlasting miracle jewish survival hope affirming commitment life light force terror darkness,Negative
“Hamas started this on Oct 7” - meanwhile Israelis in a telegram chat that started in 2022. It’s a dedicated space to celebrate Palestinian corpses and have genocidal rants. They even share images of babies and say “Lil Nazi - I wanted his head blown off”   The IDF actively contributes content to this group and runs a telegram group of their own that is now deleted after being exposed.   https://www.haaretz.com/israel-news/security-aviation/2023-12-12/ty-article/.premium/graphic-videos-and-incitement-how-the-idf-is-misleading-israelis-on-telegram/0000018c-5ab5-df2f-adac-febd01c30000,Hamas started this on Oct 7 meanwhile Israelis in a telegram chat that started in 2022 It s a dedicated space to celebrate Palestinian corpses and have genocidal rants They even share images of babies and say Lil Nazi I wanted his head blown off The IDF actively contributes content to this group and runs a telegram group of their own that is now deleted after being exposed,hamas started oct meanwhile israeli telegram chat started dedicated space celebrate palestinian corps genocidal rant even share image baby say lil nazi wanted head blown idf actively contributes content group run telegram group deleted exposed,Positive
HAMAS TEM QUE SER EXTINTOS DA FACE DA TERRA!.,HAMAS TEM QUE SER EXTINTOS DA FACE DA TERRA,hamas tem que ser extintos da face da terra,Neutral
#savegazafromisraelcrimes #SaveGazaFromZionists #SaveGazaNow #SaveGazaCivilians #PrayForGaza #GazaGenocide #netanyahou_biden_are_terrorists_and_war_criminals #IsraeliLies #israelterroriststate #Israel_New_Nazism  DON'T STOP TALKING FOR  🇵🇸 PRAY FOR GAZA PERMANENT CEASEFIRE NOW,save gaza from israel crimes save gaza from zionists save gaza now save gaza civilians pray for gaza gaza genocide netanya hou biden are terrorists and war criminals israeli lies israel terrorist state israel new nazism DON T STOP TALKING FOR PRAY FOR GAZA PERMANENT CEASEFIRE NOW,save gaza israel crime save gaza zionist save gaza save gaza civilian pray gaza gaza genocide netanya hou biden terrorist war criminal israeli lie israel terrorist state israel new nazism stop talking pray gaza permanent ceasefire,Negative
